currency_name,currency_symbol,price,percent_change_24h,percent_change_7d,percent_change_30d
Bitcoin,BTC,17126.90337,1.27338259,3.75881233,-19.1280233
Ethereum,ETH,1278.321927,2.7609988,5.78174629,-22.49149397
Tether,USDT,1.00013926,0.00647314,0.05704141,0.00591557
BNB,BNB,291.6990731,0.29306892,-6.48466814,-17.34815189
USD Coin,USDC,1.000026087,0.00941465,-0.0027813,-0.00360138
Binance USD,BUSD,1.000076225,0.05270684,-0.03875576,-0.0766027
XRP,XRP,0.38998884,0.33627853,-2.68779719,-22.0031735
Dogecoin,DOGE,0.104070415,4.14609143,0.53889525,-17.83844328
Cardano,ADA,0.322811353,1.20504602,2.21549205,-23.48894554
Polygon,MATIC,0.919170053,1.70572178,7.44321217,-22.1597836
Polkadot,DOT,5.585345153,1.34356022,4.44391097,-21.00875661
Dai,DAI,0.999954102,0.03616846,-0.00154548,0.00832519
Litecoin,LTC,76.96071611,0.59997726,1.70329454,13.48163275
Shiba Inu,SHIB,9.34E-06,1.41970153,-1.00045354,-25.3257971
Solana,SOL,13.66344801,2.7321028,-4.329616,-59.91697089
TRON,TRX,0.053166803,-0.88656964,-0.89468337,-16.43242294
Uniswap,UNI,6.247202391,2.35394062,13.64573975,-17.18919597
Avalanche,AVAX,13.80105987,2.19711009,5.61844589,-28.82478342
Chainlink,LINK,7.420301374,2.32093477,6.11012989,-15.09126543
UNUS SED LEO,LEO,3.822321915,1.06114398,-9.15051411,-10.54688703
Wrapped Bitcoin,WBTC,17089.46229,1.56428848,4.11339595,-19.26785766
Cosmos,ATOM,10.23128484,1.92977529,1.6037679,-31.78684354
Ethereum Classic,ETC,19.4937702,1.52731723,-2.99549654,-24.62887377
Monero,XMR,143.2912128,-0.91970626,4.26568194,-8.52221568
Stellar,XLM,0.087783843,1.37653459,-3.56348263,-23.66823032
Toncoin,TON,1.815471315,0.54977486,4.75558374,7.51178558
Bitcoin Cash,BCH,110.9378675,0.90041853,-1.41867199,-10.26717445
Algorand,ALGO,0.239762434,0.86929193,-1.74594722,-41.56314623
Cronos,CRO,0.064753724,1.71186994,0.07977886,-44.64239983
Quant,QNT,127.9049821,0.78941592,6.25784149,-22.30578751
Filecoin,FIL,4.578881969,3.6191485,4.11056839,-25.64807102
ApeCoin,APE,3.999576631,2.86136717,3.2368256,-15.70530246
NEAR Protocol,NEAR,1.717349983,2.60816967,4.7287871,-47.55277218
VeChain,VET,0.019286055,1.36345536,1.0306013,-24.08544121
OKB,OKB,21.71615973,0.06950803,3.72007025,4.82257742
Internet Computer,ICP,4.318101481,4.67732777,8.28135039,-23.3700794
Flow,FLOW,1.123420611,4.87964129,-1.09088767,-39.08825716
Hedera,HBAR,0.047971662,0.83371881,-3.67954816,-24.30091476
Terra Classic,LUNC,0.000176178,1.70308534,7.25127887,-32.96427568
