+-----------------------+-----------------+------------------------+--------------------+-------------------+--------------------+
|     currency_name     | currency_symbol |         price          | percent_change_24h | percent_change_7d | percent_change_30d |
+-----------------------+-----------------+------------------------+--------------------+-------------------+--------------------+
|        Bitcoin        |       BTC       |   17104.697184930556   |     0.90179204     |     3.07705438    |    -19.11793836    |
|        Ethereum       |       ETH       |   1276.3251394688857   |     1.16796602     |     4.91313606    |    -22.44825963    |
|         Tether        |       USDT      |   1.0001411338690036   |     0.00514768     |     0.05678591    |     0.00872601     |
|          BNB          |       BNB       |   291.6539607410269    |    -0.16666091     |    -7.20438886    |    -17.21923813    |
|        USD Coin       |       USDC      |   0.9999909538032646   |    -0.00107282     |    -0.01393443    |    -0.00889099     |
|      Binance USD      |       BUSD      |   0.999993988898862    |     0.00824194     |     -0.0060467    |     0.0102113      |
|          XRP          |       XRP       |   0.3903107489954799   |    -0.46038075     |    -3.22153539    |    -21.95735678    |
|        Dogecoin       |       DOGE      |  0.10389882826805741   |     2.57045917     |     -0.7622914    |    -17.99308003    |
|        Cardano        |       ADA       |  0.32313373165109366   |     0.35373403     |     1.42295569    |    -23.50908471    |
|        Polygon        |      MATIC      |   0.918253145120052    |     0.8259899      |     6.25119203    |    -22.01866663    |
|        Polkadot       |       DOT       |   5.565720017734819    |     0.56351016     |     3.00551106    |    -20.12631785    |
|          Dai          |       DAI       |   0.9997441904772826   |     -0.0123797     |    -0.04572325    |    -0.01314907     |
|        Litecoin       |       LTC       |    76.765655332813     |     0.91355122     |     1.01598934    |    13.47062109     |
|       Shiba Inu       |       SHIB      | 9.331670846910246e-06  |     0.3842725      |     -1.5957701    |    -25.84149973    |
|         Solana        |       SOL       |   13.626162689556484   |     1.17601544     |    -5.34107835    |    -59.65850087    |
|          TRON         |       TRX       |  0.05319353619363032   |    -1.33351191     |    -1.56939204    |    -16.2100142     |
|        Uniswap        |       UNI       |   6.267780802916297    |     1.85244305     |    13.07929996    |    -16.93587206    |
|       Avalanche       |       AVAX      |   13.792222596469555   |     1.07935126     |     4.37620866    |    -28.73319948    |
|       Chainlink       |       LINK      |   7.389528226386103    |     0.77206229     |     4.2061588     |    -15.63894429    |
|      UNUS SED LEO     |       LEO       |    3.81064993182827    |     0.41116081     |    -9.32373993    |    -11.68359105    |
|    Wrapped Bitcoin    |       WBTC      |   17060.275031305882   |     1.06815583     |     3.3472917     |    -19.29280365    |
|         Cosmos        |       ATOM      |   10.257153779744844   |     0.73297159     |     0.49076439    |    -31.47312039    |
|    Ethereum Classic   |       ETC       |   19.482758308035518   |     0.23178702     |    -3.84102615    |    -24.3586641     |
|         Monero        |       XMR       |   144.62811256381474   |    -0.96395158     |     4.65705059    |    -6.96446958     |
|        Stellar        |       XLM       |   0.0877669602592915   |     0.6535399      |    -4.07668228    |    -23.50137792    |
|        Toncoin        |       TON       |   1.8156500392179615   |     0.26512665     |     4.83126172    |     7.14264001     |
|      Bitcoin Cash     |       BCH       |   110.94530343956893   |     -0.063825      |    -1.92518176    |    -9.97555367     |
|        Algorand       |       ALGO      |  0.23955600045503575   |    -0.01429609     |    -2.60233417    |    -41.37870046    |
|         Cronos        |       CRO       |  0.06467333819877497   |     0.9715533      |    -0.17435779    |    -44.84935186    |
|         Quant         |       QNT       |   127.06851196154997   |     -1.6177273     |     5.02277898    |    -22.60432602    |
|        Filecoin       |       FIL       |   4.5633344335717325   |     2.26695862     |     2.63747139    |    -25.65581368    |
|        ApeCoin        |       APE       |   3.989811585330133    |     1.34292195     |     3.98969714    |    -15.19499203    |
|     NEAR Protocol     |       NEAR      |   1.710625723555621    |     1.08453721     |     2.86399516    |    -47.83670825    |
|        VeChain        |       VET       |  0.019282733385167998  |     0.50818533     |     0.39352047    |    -24.08205449    |
|          OKB          |       OKB       |   21.75898816131373    |    -0.16350737     |     3.1503247     |     4.56124511     |
|   Internet Computer   |       ICP       |   4.318517968419071    |     3.51511361     |     7.1465472     |    -23.41944608    |
|          Flow         |       FLOW      |   1.121970270395622    |     3.7510305      |    -2.40303238    |    -38.85101757    |
|         Hedera        |       HBAR      |  0.04799405218014791   |     0.29529992     |    -4.60538484    |    -24.03966489    |
|     Terra Classic     |       LUNC      | 0.0001750748166940686  |    -2.18603827     |     6.36391482    |    -30.25515591    |
|  MultiversX (Elrond)  |       EGLD      |   43.149301126214006   |    -1.56655353     |    -1.01191186    |    -29.27443259    |
|      Huobi Token      |        HT       |   6.634271640019866    |    -2.20117531     |    -7.81980933    |    -23.05826342    |
|         Chiliz        |       CHZ       |  0.16563241046203497   |    -0.71438174     |    -4.76881149    |    -34.60300742    |
|   Trust Wallet Token  |       TWT       |   2.435350468229888    |     1.03807308     |    19.65778634    |    98.13022112     |
|          EOS          |       EOS       |   0.9287665445449366   |     0.1712046      |    -1.99175445    |    -22.24325688    |
|       Pax Dollar      |       USDP      |   0.9978594450132541   |     0.17763218     |    -0.48997454    |    -0.29593044     |
|         Tezos         |       XTZ       |   1.0049849512355722   |    -0.15505163     |    -0.43906158    |    -29.55588888    |
|          Aave         |       AAVE      |   63.909284580290645   |     0.85552213     |     1.3308288     |    -32.68624854    |
|     Theta Network     |      THETA      |   0.890793181433239    |    -0.07178887     |    -7.91835984    |    -31.32136462    |
|      The Sandbox      |       SAND      |   0.5884668197563405   |     0.67725096     |     0.83525865    |    -32.97091329    |
|         Chain         |       XCN       |  0.03847801687015136   |     -0.9690647     |    -6.37683804    |    -26.58890378    |
|        TrueUSD        |       TUSD      |   0.9995005195264529   |     0.05894183     |    -0.03488046    |    -0.06079686     |
|       Bitcoin SV      |       BSV       |   42.13464987818176    |     1.01173964     |     2.52401164    |    -13.14891538    |
|      Decentraland     |       MANA      |  0.40938118605971313   |    -0.85399881     |     0.29490142    |    -40.97146775    |
|         Zcash         |       ZEC       |   45.83147113565843    |     0.29744465     |     9.7637212     |    -14.52360257    |
|          USDD         |       USDD      |   0.9840888024809712   |    -0.09768049     |    -0.68144005    |    -1.19667815     |
|     Axie Infinity     |       AXS       |   6.849330442179697    |     0.58119622     |    -0.00645517    |    -30.17247644    |
|         Aptos         |       APT       |   5.159778126954072    |    -0.37466464     |     8.10689236    |    -32.26746771    |
|     BitTorrent-New    |       BTT       | 6.956014289824033e-07  |     -0.2970919     |     1.5262851     |    -15.94935612    |
|      PancakeSwap      |       CAKE      |   3.9891564844716094   |    -0.86556798     |    -1.30409382    |    -18.97411545    |
|         BitDAO        |       BIT       |   0.3065193884490289   |    -0.14971994     |     3.5195315     |    -27.82124416    |
|      KuCoin Token     |       KCS       |    6.48375087331798    |     0.00096055     |    -6.68887661    |    -37.51057552    |
|         Maker         |       MKR       |   650.2760290610869    |     1.18936564     |    -0.30941921    |    -28.41058801    |
|         Fantom        |       FTM       |  0.23927543268051005   |    -3.03045545     |    24.39393631    |    -12.58774649    |
|     Gemini Dollar     |       GUSD      |   0.9916925023741089   |    -1.31169581     |    -1.71450588    |     -0.8182721     |
|      Neutrino USD     |       USDN      |   0.8824253392037317   |    -1.15734815     |     -5.1606323    |    -9.19607961     |
|          IOTA         |      MIOTA      |  0.21164145651613772   |    -0.40371067     |    -3.05352606    |    -21.96973033    |
|        PAX Gold       |       PAXG      |   1794.0414104597635   |     0.45934405     |     2.31702108    |     7.28577078     |
|         eCash         |       XEC       | 2.9480663474905203e-05 |    -0.07313636     |    -0.37841236    |    -24.62400676    |
|         Klaytn        |       KLAY      |  0.18710617471550206   |    -0.47205442     |     3.9369185     |    -20.85477205    |
|          Dash         |       DASH      |   44.80315525396152    |    -0.93302177     |     7.16343132    |     0.30995196     |
|          Neo          |       NEO       |   6.873975090137089    |    -0.35690198     |    -1.40344708    |    -23.24525665    |
|       THORChain       |       RUNE      |   1.3756293750746698   |     2.76723419     |    14.35369182    |    -16.72836707    |
|       The Graph       |       GRT       |  0.06393645158242549   |    -0.54225977     |    -1.20513028    |    -32.84277856    |
|          Mina         |       MINA      |   0.5774133287100222   |     2.21902406     |     0.72129756    |    -25.45839073    |
|       Synthetix       |       SNX       |   1.7635069800877738   |     1.76035858     |     3.31374785    |    -34.12566344    |
|          GMX          |       GMX       |   53.42888960732857    |     2.51133979     |    20.40622943    |    23.60189402     |
|        Fei USD        |       FEI       |   0.9904858194362463   |    -0.30558454     |    -0.44969229    |    -0.06932328     |
|      EthereumPoW      |       ETHW      |   3.863753036745564    |     0.75171063     |    13.37315714    |    -40.81181369    |
|       GateToken       |        GT       |   3.6227652896952716   |    -0.10674682     |    -1.59436763    |    -24.54006186    |
|          Nexo         |       NEXO      |   0.6881185071227561   |     1.58191794     |    -1.66066158    |    -33.54401309    |
|       ImmutableX      |       IMX       |   0.5072191129218642   |     5.9846479      |    12.39414057    |    -24.21591654    |
|    Curve DAO Token    |       CRV       |   0.6685500938890262   |     4.01091295     |    -5.28985769    |    -34.8985294     |
|        Lido DAO       |       LDO       |   1.1108257588038841   |     1.58025911     |     1.60299104    |    -37.41730689    |
| Basic Attention Token |       BAT       |  0.23291626026462245   |     0.57656999     |     0.24373475    |    -31.36228522    |
|        Loopring       |       LRC       |  0.25615473660512117   |    -0.09878587     |     4.58583352    |    -33.4541285     |
|          Celo         |       CELO      |   0.7102161772152173   |     18.8714499     |     5.38179303    |    -7.16498272     |
|         Stacks        |       STX       |  0.24691591799259624   |    -0.86501817     |     2.56318545    |    -26.26739804    |
|     1inch Network     |      1INCH      |   0.4977167630065061   |     0.5182251      |    -6.24911005    |    -23.42164944    |
|         Casper        |       CSPR      |  0.030271746600110006  |     0.4662762      |    -4.12647849    |    -25.50702512    |
|         Decred        |       DCR       |   21.497383166635295   |     0.43680804     |     6.37713049    |    -23.70413905    |
|       Enjin Coin      |       ENJ       |   0.3116663445993393   |     1.5799816      |    -0.04587624    |    -34.26403375    |
|        Zilliqa        |       ZIL       |  0.022827249984494525  |     0.20657644     |    -1.74353382    |    -30.71036213    |
|        Arweave        |        AR       |    9.24807716101132    |    -0.17783529     |    -1.53928421    |    -37.15124447    |
|         Helium        |       HNT       |   2.290854978751172    |     1.40569449     |    -9.72803792    |    -45.29577861    |
|          Kava         |       KAVA      |   0.9060147827639446   |    -0.97146939     |     4.62318731    |    -37.86098868    |
|          Holo         |       HOT       | 0.0017286044198317415  |     3.09414648     |     4.90833433    |    -20.46879354    |
|          NEM          |       XEM       |  0.03283076392705025   |    -0.11560009     |     0.75668431    |    -20.25591452    |
|     Convex Finance    |       CVX       |   3.9642110037551315   |     1.17795581     |    -8.74093814    |    -27.70455571    |
| Ethereum Name Service |       ENS       |   14.000801652196255   |     -0.5051312     |     1.66424161    |    -20.91018759    |
|        Balancer       |       BAL       |   6.125495349196975    |     0.60925735     |     1.18087268    |    -12.89372477    |
+-----------------------+-----------------+------------------------+--------------------+-------------------+--------------------+
