,name,artists,genre
0,The Sound of Silence - Electric Version,Simon & Garfunkel,"classic rock, folk, folk rock, melancholia, mellow gold, rock"
1,Mere Rashke Qamar - Complete Original Version,Nusrat Fateh Ali Khan,"indian fusion, pakistani folk, qawwali, sufi, world"
2,The Adventures of Rain Dance Maggie,Red Hot Chili Peppers,"alternative rock, funk metal, funk rock, permanent wave"
3,Charkha (feat. Pt. Vishwa Mohan Bhatt),Indian Ocean,"filmi, indian folk, indian fusion, indian indie, indian rock, pakistani pop"
4,Paradisum - Original Mix,Ahmed Romel,"progressive trance, progressive uplifting trance, trance, uplifting trance"
5,I've got that tune,Chinese Man,"electro swing, electronica, hip-hop experimental, nu jazz, rap marseille"
6,Road Movie,Yom,french jazz
7,Les deux guitares,Opa Tsupa,gypsy jazz
8,Gates of Albion - Paul Rigel Remix,tranzLift,progressive uplifting trance
9,Lady With The Spinning Head - Extended Dance Mix,U2,"irish rock, permanent wave, rock"
10,Years,Alesso,"dance pop, edm, electro house, pop, pop dance, tropical house"
11,432hz Sunset Breeze,Abe Hathot,432hz
12,Dharawi Nights,Secretpath,
13,Clocks,Coldplay,"permanent wave, pop"
14,بنی آدم,Coldplay,"permanent wave, pop"
15,Èkó,Coldplay,"permanent wave, pop"
16,Everyday Life,Coldplay,"permanent wave, pop"
17,Einsamer Hirte,James Last,easy listening
18,Bohemian Rhapsody,Queen,"classic rock, glam rock, rock"
19,Soundtrack Of Minus,Vivash Soni,
20,Ahir Bhairav,Various Artists,
21,Ocean,John Butler,
22,Society,Eddie Vedder,"acoustic rock, permanent wave, rock"
23,"21 Hungarian Dances, WoO 1: No. 5 in G Minor: Allegro",Johannes Brahms,"classical, german romanticism, late romantic era"
24,Hard Sun,Eddie Vedder,"acoustic rock, permanent wave, rock"
25,Magic,Coldplay,"permanent wave, pop"
26,"Toccata and Fugue in D Minor, BWV 565",Johann Sebastian Bach,"baroque, classical, early music, german baroque"
27,"The Barber of Seville, Act I: Overture",Gioachino Rossini,"classical, italian opera, italian romanticism"
28,Raining Blood,Slayer,"alternative metal, death metal, hard rock, metal, nu metal, old school thrash, rock, speed metal, thrash metal"
29,We Are Young (feat. Janelle Monáe),fun.,"baroque pop, metropopolis, modern rock, pop rock"
30,Goa Groove,Vintage Key,
31,"Swan Lake, Op. 20, Act II No. 10: Scène. Moderato",Pyotr Ilyich Tchaikovsky,"classical, late romantic era, russian romanticism"
32,Rise,Eddie Vedder,"acoustic rock, permanent wave, rock"
33,Horizonte - Andy Blueman Remix,SoundLift,"progressive uplifting trance, uplifting trance"
34,The Sound of Silence - Acoustic Version,Simon & Garfunkel,"classic rock, folk, folk rock, melancholia, mellow gold, rock"
35,Hallowed Be Thy Name - 2015 Remaster,Iron Maiden,"hard rock, metal, nwobhm, rock"
36,Do the Evolution,Pearl Jam,"alternative rock, grunge, permanent wave, rock"
37,The Feast and The Famine,Foo Fighters,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock"
38,Zuul,Genix,"progressive house, progressive trance, trance, uplifting trance"
39,The Next Chapter,Genix,"progressive house, progressive trance, trance, uplifting trance"
40,Perfect,Simple Plan,"canadian pop punk, canadian punk, canadian rock, pop punk"
41,Going to California - Remaster,Led Zeppelin,"album rock, classic rock, hard rock, rock"
42,Face Of Melinda (Remastered),Opeth,"alternative metal, metal, progressive death metal, progressive metal, swedish metal, swedish progressive metal"
43,Empty Words,Death,"alternative metal, death metal, dissonant death metal, florida death metal, metal, rock, technical death metal"
44,The Number of the Beast - 2015 Remaster,Iron Maiden,"hard rock, metal, nwobhm, rock"
45,Senorita,Shankar-Ehsaan-Loy,"desi pop, filmi, modern bollywood"
46,Saibo,Sachin-Jigar,"desi pop, filmi, gujarati pop, modern bollywood"
47,Dil Kyun Yeh Mera,Rajesh Roshan,"classic bollywood, filmi, modern bollywood"
48,Everyday,Agnelli & Nelson,"classic progressive house, hard house, trance"
49,The Ultra-Violence,Death Angel,"death metal, hard rock, metal, old school thrash, thrash metal"
50,Yellow Ledbetter,Pearl Jam,"alternative rock, grunge, permanent wave, rock"
51,All My Love - 1990 Remaster,Led Zeppelin,"album rock, classic rock, hard rock, rock"
52,Dust in the Wind,Kansas,"album rock, art rock, classic rock, hard rock, heartland rock, mellow gold, progressive rock, rock, soft rock, symphonic rock"
53,Knockin' On Heaven's Door,Guns N' Roses,"glam metal, hard rock, rock"
